#{"t_start": 1758042013.1181347, "env_id": "None"}
r,l,t
-153.761602,99,0.025036
-100.576104,64,0.095068
-111.630585,103,0.174494
-120.652114,73,0.231365
-270.70516,84,0.297006
-311.75741,78,0.359783
-120.89882,131,0.462731
-109.845552,67,0.515912
-152.290403,82,0.582771
-256.332254,90,0.65851
-175.211781,119,0.755656
-413.866504,98,0.835613
-313.010053,88,0.907485
-318.111836,99,0.989152
-196.038953,114,1.092264
-318.825994,116,1.208099
-79.324994,87,1.280841
-80.536908,111,1.373728
-114.994863,96,1.455278
-131.119103,74,1.522485
-189.904777,95,1.600667
-228.227073,82,1.673415
1.508171,104,1.767775
-115.207009,96,1.851295
-299.858107,135,1.971924
-81.594924,88,2.048362
-250.036863,110,2.145131
-90.037361,96,2.230081
-90.541801,108,2.326774
-323.657452,136,2.450281
-195.375997,118,2.55351
-307.863446,112,2.651467
-207.568793,152,2.792055
-45.856045,135,2.912281
-21.346576,92,2.996044
-144.092,141,3.128082
-140.635548,140,3.258651
-437.429674,1615,4.900072
-89.742232,98,4.997843
-141.337404,179,5.182699
-174.672864,221,5.402918
-223.03602,154,5.559577
-282.351129,193,5.765393
-79.413276,324,6.103193
-142.952033,101,6.207978
-321.05149,266,6.49056
-210.756883,530,7.060803
-185.394606,654,7.780788
-193.872464,522,8.381659
-2815.87268,8774,15.112182
-124.547199,737,15.543053
-872.792603,2120,16.763001
-225.198404,931,17.308943
-420.840334,880,17.825216
-557.90154,357,18.259242
-417.789668,202,18.497891
-65.319752,655,19.283057
-410.502924,312,19.649897
-525.276737,808,20.606495
-329.323568,317,20.990108
-675.691837,643,21.778555
-344.439271,333,22.178116
103.393748,668,22.995053
-104.981531,248,23.284621
-311.590649,286,23.625335
-118.575365,270,23.941331
172.115544,343,24.346729
-8.485973,758,25.244565
50.253448,775,26.167592
-321.84753,372,26.609725
110.23759,446,27.149756
-373.585283,366,27.603484
52.412443,629,28.361656
-145.739553,312,28.742152
93.659413,581,29.462292
28.812317,402,30.07157
-340.162134,358,30.278221
81.216834,464,30.546133
35.934446,596,30.891733
-121.591009,272,31.046561
-121.554553,272,31.370214
148.753683,367,31.812592
-296.049798,316,32.184112
-450.075,880,33.243672
-300.728409,316,33.624498
-300.25543,323,34.025837
175.701866,441,34.548744
125.41563,362,34.97824
-158.81945,307,35.345021
151.235139,426,35.855024
-275.89921,294,36.205566
-285.287522,1288,37.803562
-35.04779,663,38.602722
-368.728614,422,39.100013
-271.111889,247,39.393431
74.163221,697,40.252111
-26.910237,695,41.091716
73.23728,479,41.656351
-344.611889,370,42.099547
-333.587061,302,42.461602
92.473409,481,43.373953
-293.451564,307,43.548657
-386.305107,5940,47.322786
-300.123562,294,47.489122
-172.768076,366,47.696497
-116.342795,182,47.914262
-269.09774,306,48.278311
-148.37633,311,48.641921
89.745165,695,49.468981
34.355352,709,50.314019
229.070027,270,50.632839
97.692423,860,51.655481
132.552488,366,52.088772
54.491155,493,52.684596
-114.607477,250,52.984227
-302.92607,429,53.504248
9.774508,925,54.613524
-312.975701,393,55.087134
-361.651919,429,55.621133
-6.352317,451,56.168357
-326.997593,369,56.621275
-327.806735,425,57.134108
-183.406506,462,57.691221
-148.075213,396,58.166519
-324.222799,369,58.607391
-407.558796,518,59.225187
-326.708359,375,59.905928
-365.059164,426,60.152279
-282.434281,9410,65.84593
-3805.20977,11202,72.379809
-224.710809,429,72.62715
35.369896,1156,74.028731
-186.71144,1331,75.625486
-51.435499,1390,77.318349
164.267231,531,77.943763
-168.720822,313,78.329408
-293.041292,312,78.70344
-322.357334,400,79.19721
-83.529188,248,79.494138
-360.917922,426,80.000644
-462.43979,1674,82.067729
124.374771,529,82.699934
204.541958,357,83.12718
40.474696,695,85.113789
-2438.012135,10080,91.076443
-96.07917,301,91.250155
16.473329,836,91.75372
-9.831159,473,92.038015
92.730856,486,92.6405
82.989357,574,93.320271
64.176965,796,94.279557
-315.995031,1261,95.800113
20.311155,1045,97.066381
86.813836,622,97.812725
-135.685124,269,98.135765
-2021.516544,5130,106.9993
-4250.897767,12376,114.327456
-1851.35076,4503,116.953887
-2158.947853,5052,119.866492
-2144.154709,4660,122.540404
-352.485036,402,123.018883
49.529886,1004,124.26443
-260.516123,657,125.072261
-91.735926,1276,126.603431
-1114.175801,2446,129.504777
-1284.862225,3205,136.448325
-1649.516877,4852,139.250857
-2507.334248,7213,143.460987
-898.471602,1593,144.388665
-1821.619665,5128,147.348012
52.424867,453,147.909271
-1615.820324,3102,151.584547
-1415.606127,3310,155.579351
-940.227436,1813,160.391079
-460.146447,780,160.849555
-1899.060905,4463,163.422326
-765.359686,1519,164.295214
-760.855566,1385,165.078489
-232.94442,347,165.50636
-1969.626519,5248,171.857566
-947.986991,1735,173.910774
-325.925701,464,177.314901
-1147.758481,2697,178.870931
-1177.819948,2460,180.261571
-1507.242232,4234,182.752044
-750.508986,1225,183.457644
-1423.008566,2444,186.402541
-548.425016,921,187.519867
-144.272243,174,187.727873
-395.112941,614,188.456
-1727.492066,3998,197.875547
-4162.352785,10027,203.677035
-872.845827,1565,204.621926
-186.40179,256,204.776772
-246.394139,361,204.986755
