#{"t_start": 1758042985.5498505, "env_id": "None"}
r,l,t
-144.020773,164,70.906688
-110.239752,248,71.200183
-104.455646,350,71.621721
-141.427884,306,71.996337
-96.64739,186,72.222286
-100.350295,328,72.666015
-140.407466,436,72.918357
-664.656602,3448,74.899391
-90.401085,2096,76.076917
-188.370609,669,76.454337
-289.509955,1174,77.882239
-110.471078,181,78.098886
-126.416698,173,78.307674
-318.273032,1524,80.130262
-271.556974,941,81.291734
-343.49034,1733,83.4095
-99.188857,291,83.76815
-165.673978,646,84.555238
-110.188477,317,84.955354
-81.74676,207,85.213871
-113.901564,320,85.61468
-117.023933,315,85.998721
-108.725671,293,86.359286
-91.425458,149,86.535936
-93.203961,141,86.717299
-97.984852,210,86.989853
-95.527242,222,87.25904
-196.158806,903,88.363913
-146.892948,157,88.768764
-115.058492,206,88.88508
-294.861106,1361,89.639801
-78.56225,198,89.749614
-123.388417,254,89.894969
-117.572877,187,90.12519
-149.615662,421,90.630051
-469.89194,2246,93.327537
-240.65204,947,94.465714
-284.422865,1218,95.944835
-461.235844,2275,98.731551
-123.497423,313,99.105131
-152.986075,496,99.699214
-185.195179,697,100.539883
-73.269559,184,100.763947
-180.484412,771,101.698318
-92.032276,168,101.902567
-127.787372,403,102.220662
-120.495413,228,102.348203
-142.095976,176,102.446035
-114.551551,176,102.546379
-92.252825,155,102.634297
-127.61552,208,102.888584
-180.989186,573,103.571832
-136.294603,306,103.944307
-150.069536,432,104.471985
-278.882195,1233,105.938528
-136.914245,229,106.213738
-96.524983,265,106.530856
-146.275202,410,107.028592
-143.208837,696,107.903839
-79.475517,143,108.073209
-144.724354,180,108.295755
-110.712348,374,108.764062
-201.283593,729,109.628066
-93.783327,188,109.856729
-93.985509,188,110.092804
-95.016808,194,110.327504
-279.160375,1404,112.013027
-88.123527,195,112.246271
-99.987768,312,112.620212
-115.606559,255,112.935436
-85.432197,180,113.155407
-136.776944,279,113.494015
-81.398479,160,113.687612
-161.597881,589,114.399148
-95.349263,198,114.645291
-111.404854,189,114.853833
-269.313784,280,115.010093
-99.927057,256,115.152787
-166.165396,589,115.488616
-119.942318,121,115.558053
-252.659083,1134,116.957486
-142.206278,153,117.143906
-171.098396,601,117.887564
-96.172858,483,118.479539
-201.434032,969,119.677184
-84.553051,228,119.955504
-161.048452,496,120.549385
-353.965102,1761,122.695999
-107.868648,169,122.903029
-116.521443,312,123.283619
-152.19434,546,123.952967
-134.674002,214,124.214806
-197.506412,803,125.200317
-173.334998,858,126.235207
-104.273823,463,126.791766
-108.022964,171,126.992733
-95.526385,216,127.245715
-95.838542,146,127.863737
-128.500863,155,127.953284
-119.824651,219,128.077441
-137.16492,197,128.189213
-99.909135,212,128.311872
-130.630732,634,129.105282
-101.291264,273,129.438877
-117.417361,450,129.989846
-53.373136,186,130.222442
-126.824561,241,130.515809
-129.646162,150,130.697039
-95.178492,177,130.911132
-110.146427,208,131.162092
121.94694,465,131.732434
-138.876605,164,131.926938
-94.220293,489,132.511063
25.368012,1388,134.184003
-144.96069,469,134.76156
-14.014379,1655,136.766767
-105.934797,642,137.528382
175.169236,990,138.734028
178.842264,510,139.379491
-106.204728,295,139.73279
-114.332514,322,140.123592
-88.345044,187,140.582736
-120.051747,139,140.6633
-135.736533,464,140.92005
-119.157939,435,141.159874
-82.782532,210,141.287439
