#{"t_start": 1758042985.5498505, "env_id": "None"}
r,l,t
-1272.153611,6343,7.72059
-219.174902,164,7.923256
-152.4295,127,8.076371
-180.718853,176,8.288648
-172.911519,427,8.803513
-113.410296,212,9.058858
-192.583842,347,9.470585
-87.692199,144,9.642658
-93.344111,154,9.827835
-107.587419,125,9.97515
-111.652045,368,10.413184
-83.310711,181,10.627372
-204.174719,539,11.266992
-120.630608,198,12.191166
-142.931665,157,12.281164
-1035.081295,5295,15.280625
-249.434917,596,15.622002
-1242.024336,6472,19.339533
-147.203833,360,19.774376
-463.312568,2221,22.434658
-145.72341,162,22.62443
-132.970973,159,22.81148
-86.694192,140,22.980519
-130.857785,152,23.167075
-546.907111,2467,26.147202
-161.891158,153,26.330363
-672.510856,3319,30.348994
-111.271295,173,31.481739
-107.577071,188,31.588569
-108.027853,268,31.74219
-101.033667,170,31.837808
-97.766608,148,31.921061
-194.173398,1009,33.150653
-340.065854,1395,34.822751
-144.00911,170,35.026011
-589.135993,77,35.116412
-127.531406,173,35.323733
-157.100167,164,35.525717
-125.597459,148,35.710786
-107.199983,204,35.968378
-318.314239,1204,37.41894
-148.490068,317,37.799968
-116.063225,162,37.994544
-309.549096,1233,39.492593
-359.241053,1672,41.521166
-292.306496,1028,42.765285
-232.33969,910,43.875497
-277.597072,1164,44.673411
-116.001368,217,44.794793
-366.758233,1422,45.601313
-158.591587,140,45.68157
-274.860145,1334,46.450503
-128.79178,266,46.778908
-136.274654,334,47.18621
-176.611437,660,47.981706
-305.400514,1200,49.423046
-96.247175,192,49.6526
-151.437416,597,50.392876
-127.570275,168,50.599007
-265.370681,1207,52.067041
-196.061297,710,52.928006
-274.138739,1267,54.448148
-115.096206,146,54.623672
-199.95462,756,55.542486
-163.739365,480,56.123684
-95.945428,163,56.318604
-146.892541,415,56.811864
-127.405262,236,57.090234
-142.408342,164,57.281716
-164.732656,618,58.012596
-381.626589,1844,59.535661
-163.389741,626,59.884004
-128.934914,370,60.092833
-85.37656,227,60.222285
-126.68615,190,60.328331
-215.877902,158,60.52324
-101.370204,257,60.838965
-113.563307,131,60.999218
-106.697741,174,61.211904
-96.82677,184,61.44115
-75.971568,178,61.660001
-127.298049,218,61.926196
-128.763695,149,62.105293
-100.904717,1886,64.412541
-113.943162,151,64.598876
-110.908948,282,64.951832
-384.084873,2021,67.413239
-517.470708,2743,70.707169
